                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_round[184]       0.209  0.125  -0.004    0.459      0.026    0.025      26.0      19.0   1.19
mu_round[185]       0.177  0.117  -0.041    0.365      0.010    0.007     126.0      73.0   1.09
mu_round[186]       0.137  0.173  -0.257    0.381      0.051    0.037      21.0      13.0   1.22
mu_round[187]       0.195  0.114  -0.000    0.415      0.016    0.016      44.0      44.0   1.10
mu_round[188]       0.192  0.107  -0.014    0.366      0.007    0.007     176.0     292.0   1.05
mu_round[189]       0.198  0.110  -0.017    0.382      0.005    0.011      76.0     212.0   1.08
mu_round[190]       0.215  0.133   0.005    0.522      0.027    0.026      27.0      27.0   1.17
mu_round[191]       0.177  0.110  -0.016    0.381      0.010    0.007      64.0     139.0   1.07
mu_round[192]       0.243  0.200   0.004    0.821      0.065    0.057      22.0      13.0   1.24
mu_round[193]       0.177  0.111  -0.006    0.379      0.007    0.005     192.0     164.0   1.07
mu_round[194]       0.161  0.132  -0.135    0.359      0.028    0.020      26.0      18.0   1.18
mu_round[195]       0.159  0.147  -0.179    0.371      0.030    0.022      31.0      43.0   1.17
mu_round[196]       0.171  0.136  -0.085    0.387      0.022    0.016      36.0     128.0   1.12
mu_round[197]       0.174  0.141  -0.123    0.381      0.027    0.019      29.0      34.0   1.15
mu_round[198]       0.222  0.161  -0.029    0.631      0.041    0.037      21.0      20.0   1.23
mu_round[199]       0.184  0.128  -0.050    0.420      0.008    0.006     200.0     407.0   1.06
mu_round[200]       0.190  0.126  -0.033    0.430      0.005    0.004     446.0     274.0   1.04
mu_round[201]       0.186  0.131  -0.058    0.409      0.008    0.007     189.0     228.0   1.06
mu_round[202]       0.205  0.142  -0.009    0.529      0.027    0.026      28.0      22.0   1.16
mu_round[203]       0.187  0.130  -0.045    0.423      0.007    0.007     251.0     220.0   1.04
mu_round[204]       0.185  0.128  -0.056    0.411      0.004    0.005     555.0     168.0   1.04
mu_round[205]       0.153  0.177  -0.272    0.446      0.050    0.036      23.0      24.0   1.21
mu_round[206]       0.171  0.145  -0.155    0.386      0.023    0.017      37.0      61.0   1.14
mu_round[207]       0.204  0.133  -0.009    0.473      0.021    0.019      39.0      67.0   1.13
mu_round[208]       0.205  0.134  -0.043    0.438      0.019    0.016      41.0     160.0   1.12
mu_round[209]       0.178  0.140  -0.085    0.392      0.023    0.016      33.0     292.0   1.13
mu_round[210]       0.192  0.129  -0.052    0.424      0.007    0.005     358.0     158.0   1.04
